"Player Name","Played Time (min)","Top Speed (km/h)","Dist. Covered (m)","Low int. kicks (#)","Med. int. kicks (#)","Hight int. kicks (#)","Power Kicks (#)","Kick Power (km/h)","Dribbling Count (#)","Dribbling Dist. (m)","Max. Intensity Run (m)","Max. Intensity Run (#)","High Intensity Run (m)","High Intensity Run (#)","Jogging (m)","Walking (m)","Max. Int. Acceleration (m)","Max. Int. Acceleration (#)","Max. Int. Deceleration (m)","Max. Int. Deceleration (#)","High Int. Acceleration (m)","High Int. Acceleration (#)","High Int. Deceleration (m)","High Int. Deceleration (#)","Session Volume","Session Intensity","Session Intensity Speed","Session Intensity Acceleration","RPE","s-RPE","Player ID","Main Possition","Date","Session ID","Session Name","Session Type"
"Amr Adel Mohamed",109.64,17.9,3650.9,15,19,2,36,36.2,3,23.4,0,0,0,0,1007.7,2643.2,136.2,32,186.5,74,270.4,74,252.9,91,78,79,74,84,0,0,23257,"GK","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Hassan Mohamed",93.57,23.7,5535.3,9,5,1,15,36.2,15,123.4,0,0,61.4,11,2195.4,3278.6,150.5,31,227.4,75,285.6,62,453.3,126,70,84,84,84,0,0,23261,"CB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"(Koufey) Mahmoud Mahmoud Mohamed",91.81,23.5,5568.5,15,19,11,45,51.4,7,64.2,0,0,96.5,14,2573.1,2898.9,134.4,32,99.1,34,315.4,80,246,59,67,77,84,70,0,0,23259,"CB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"(Abu-Talib) Omar Ahmed Mahmoud Abu-Talib",92.19,22.2,5218.7,29,21,5,55,49,31,290.9,0,0,82.3,15,2357.5,2778.9,121.6,29,143.3,51,297.8,76,367.8,99,55,54,47,61,0,0,23260,"CB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Mohamed Karim Mohamed",118.01,17.8,4742.4,24,15,4,43,65.2,4,16.5,0,0,0,0,1179.3,3563.1,72.6,19,248.9,93,281.4,84,341.9,116,95,124,73,174,0,0,23258,"GK","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"(Baradey) Ali Mohamed Adel El-Baradey",88.52,23.3,5176.1,12,5,1,18,31.2,6,61,0,0,58.9,11,2241.9,2875.3,115.2,26,137.6,44,358.5,82,324.4,80,65,79,93,66,0,0,23265,"LB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Ziad Ali Fathy",89.16,28.2,5736.1,25,31,11,67,52.8,14,132,66.5,12,184,37,2636.5,2849.1,268,60,130.9,44,401.5,90,387.9,102,69,95,101,89,0,0,23268,"CM","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Alaa Ahmed Mohamed Issa",87.05,26.7,5403,19,15,7,41,51.4,11,91.7,18.9,4,260,48,2638.6,2485.5,159.6,38,175.7,52,398.1,88,326.1,86,66,90,91,89,0,0,23264,"RB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Ali Mohamed Ali Khames",74.91,28.1,2282.2,17,13,10,40,70.9,1,14.6,16.8,4,178.3,38,1465.7,621.5,380.2,104,206.7,119,229.4,68,107.2,26,24,62,25,98,0,0,23262,"CB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Salman Mohamed Mohamed",87.7,26.7,5535.2,18,3,1,22,26.5,1,10,18.6,5,78,22,3120.4,2318.2,223.1,48,283.7,82,541.8,129,475.6,127,65,98,80,116,0,0,23271,"CM","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Marwan Mohamed Zakaria",90.65,28.4,5795.2,17,15,4,36,42.1,4,33.8,50.2,8,147.9,39,2889.8,2707.3,202.5,50,208.1,70,355.5,90,292.6,76,68,63,69,57,0,0,23273,"LW","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"(Sergio) Omar Tamer Ahmed Sirag",88.35,25.6,5886.7,31,25,7,63,55.1,2,16,9.8,3,175.6,28,2734.5,2966.8,182.4,41,194.4,64,340.9,75,337.9,86,66,90,88,93,0,0,23269,"CAM","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Amr Abdel Karim Suleiman",90.36,29.2,5647.5,13,9,3,25,40.5,5,43.5,28.3,5,165.6,34,2704.4,2749.3,167.1,40,142,43,351,74,288.2,67,71,74,81,67,0,0,23272,"LW","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Belal Ibrahim Hussein",91.11,25.8,5395.5,23,18,10,51,68.3,13,104.9,15.9,4,142,32,2425.2,2812.4,135.2,31,150.8,47,361,82,234.2,54,65,80,80,79,0,0,23275,"RW","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"(Al-Gazar) Mahmoud Hisham Saad El-Din",85.42,28.8,5505.5,44,28,19,91,64.6,6,63.1,36.4,9,271.6,45,2669.1,2528.4,349,78,244.6,71,350.8,77,398.2,103,58,65,54,77,0,0,23266,"LB","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Hassan Mohamed Abdallah",85.39,27.6,5551.3,26,15,12,53,50.8,6,52.2,41.1,7,156.2,34,2662.2,2691.7,141.2,35,142.2,44,428.6,98,251.9,59,78,102,95,110,0,0,23274,"LW","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Mohamed Mostafa AbuMuslim",82.23,28.9,5875.2,25,16,13,54,59.1,6,50.2,101.8,10,196.5,43,2988.3,2588.6,288.5,62,183.6,62,388.3,77,375.6,95,78,118,109,128,0,0,23270,"CM","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"(Al-Gazar) Ziad Mostafa Khaled",89.35,27.1,5541.8,38,27,14,79,62.1,10,87.1,10.1,2,273.8,52,2469.1,2788.8,184.3,42,217.4,66,379.3,84,383.4,92,64,85,85,86,0,0,23277,"CF","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Ziad Waheed Eid",93.93,25.7,6149.3,36,16,7,59,51.8,4,19.7,9.5,1,192.4,37,3377,2570.4,205.5,46,179.2,54,375,81,400.2,98,72,81,89,73,0,0,23279,"CF","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
"Baraa Mahmoud Galal",110.61,17.8,3884.8,17,7,11,35,61.3,6,60,0,0,0,0,2025.4,1859.4,104.3,24,373.9,102,503.9,116,125.2,27,41,68,29,107,0,0,22561,"CM","2024-09-01",50643,"Zed 2088_ 1-9-2024","T-GAME"
